id,23BJ_DTA,22BJ_SHS,22BJ_DTA,23BJ_SHS,22MS_SHS,23MS_DTA,22MS_DTA,23MS_SHS,23MS_EH,23MS_EL,22BJ_EL,22MS_EH,22BJ_EH,22MS_EL,23BJ_EH,23BJ_EL
154,74.76,14.75,65.51,16.67,14.0,87.56,88.03,13.36,117.5,15.44,18.17,83.95,82.91,17.75,,17.39
155,62.63,12.67,55.51,12.33,14.0,84.09,75.07,14.07,74.09,10.42,10.92,75.86,80.41,14.28,75.27,10.03
156,75.64,13.17,69.05,10.67,17.0,93.47,93.61,15.62,102.26,12.96,11.67,61.37,84.26,12.91,72.98,11.87
157,67.68,15.67,60.03,17.0,15.0,84.52,,17.36,97.93,18.29,14.84,84.19,113.11,17.55,75.84,11.27
158,62.13,14.5,59.04,12.67,15.5,82.63,79.06,15.71,54.09,14.49,18.42,62.01,81.42,18.79,50.21,14.36
159,59.21,16.5,55.03,12.33,16.0,81.58,,16.97,85.1,14.54,10.75,57.76,63.64,12.7,64.87,10.87
160,,12.84,58.02,12.0,12.0,82.64,80.52,11.99,62.98,12.56,12.75,59.77,66.47,14.58,55.96,12.44
161,58.84,13.67,50.51,11.33,15.0,77.56,,15.32,50.6,16.83,15.5,39.27,51.95,16.57,40.52,11.99
162,76.25,13.67,67.51,14.67,10.0,99.61,90.52,,135.33,,17.34,131.75,113.12,14.45,73.84,15.98
163,72.22,17.0,65.54,13.67,16.5,93.37,87.74,17.62,85.74,13.8,14.87,76.98,95.79,14.75,72.54,15.89
164,67.81,14.17,60.01,15.0,13.5,86.13,85.36,16.0,86.8,16.17,15.9,54.46,89.19,17.67,65.22,17.94
166,72.94,13.34,65.0,13.0,13.0,90.59,,14.0,118.08,12.69,12.25,76.53,111.39,14.93,80.12,11.82
167,,14.17,65.0,,13.0,91.31,86.63,12.15,66.49,11.4,12.76,77.47,105.19,12.58,,
168,65.83,11.67,55.5,11.67,12.5,85.57,75.94,12.35,58.46,10.82,15.52,35.09,63.61,13.74,48.31,11.69
169,76.12,9.67,67.5,10.83,13.0,91.97,86.56,12.67,85.48,11.67,13.42,90.33,105.22,12.97,45.97,11.51
170,61.36,13.67,55.01,11.67,13.0,84.3,75.31,13.42,68.05,13.1,13.84,48.92,64.76,14.28,55.39,13.61
171,62.07,13.0,56.51,10.0,13.0,83.54,79.75,13.96,76.5,14.88,15.17,63.64,74.36,15.4,49.03,16.01
172,56.26,11.34,50.54,13.73,14.0,75.14,69.7,15.65,46.65,11.47,13.42,38.01,57.62,14.03,35.67,10.45
173,81.47,15.5,71.02,11.6,14.0,,92.82,,,,18.3,74.02,85.9,17.68,66.27,15.14
174,70.73,15.17,62.02,13.67,11.5,88.87,,13.95,80.07,13.72,14.67,57.79,70.23,14.2,56.1,11.74
175,68.26,11.17,61.49,11.67,12.5,89.04,86.08,12.27,83.73,15.83,18.0,69.88,88.67,18.16,66.67,15.52
177,62.65,13.34,65.02,11.33,11.5,86.45,91.09,13.21,101.45,,15.3,96.98,116.43,16.37,74.16,16.74
178,69.43,10.33,65.5,9.6,12.0,88.47,89.17,11.59,68.41,14.62,16.09,75.73,96.39,14.93,58.24,13.25
179,58.88,10.75,,10.27,14.72,85.23,54.88,11.31,49.38,14.03,14.21,30.36,67.87,15.82,48.25,12.11
180,68.91,14.67,63.01,13.67,14.0,86.82,,13.34,65.72,,12.17,85.95,92.62,13.63,50.65,13.89
181,60.18,9.7,59.0,10.33,12.5,80.82,78.94,10.74,50.51,12.94,12.81,45.07,53.07,15.88,39.77,12.96
182,66.11,12.92,60.51,17.0,16.0,85.91,,19.0,95.77,13.61,11.25,72.83,97.36,13.92,74.75,12.1
183,67.41,13.5,60.5,14.17,12.5,88.9,,14.32,60.95,16.51,15.77,52.06,70.32,18.49,71.97,15.72
184,61.64,12.17,54.51,,9.5,79.91,76.94,9.68,65.39,13.78,16.3,51.42,62.53,13.64,49.56,
185,78.74,12.0,66.96,11.73,12.0,85.64,87.83,15.03,76.32,15.76,15.15,69.43,87.1,14.95,64.73,12.41
187,54.61,11.34,52.98,12.0,11.5,76.59,70.08,11.0,66.58,14.36,17.34,56.55,70.16,17.41,52.82,15.57
188,61.13,16.84,59.99,15.33,18.0,89.32,82.94,17.29,65.0,12.86,14.25,56.08,67.55,13.97,62.88,14.47
189,,13.37,63.51,,12.5,,88.04,,,,17.48,65.54,55.86,16.9,,
190,69.76,12.67,68.97,12.5,15.0,94.16,87.61,13.37,77.34,11.12,12.92,60.3,57.98,12.63,58.59,11.73
191,70.54,12.67,57.51,12.0,13.0,85.18,80.53,14.34,79.87,13.88,12.97,71.39,72.55,15.44,70.3,12.8
192,65.46,14.0,62.51,12.67,14.0,90.7,86.29,14.02,72.89,14.05,12.67,75.18,78.05,14.77,62.31,13.63
194,66.9,14.84,59.51,15.33,15.0,85.2,78.76,14.33,76.67,11.72,15.45,57.94,79.02,15.06,69.08,14.02
195,72.69,12.34,62.48,11.33,12.0,88.37,82.57,11.62,97.57,10.88,13.2,86.44,97.11,11.57,72.68,9.75
196,,11.67,64.5,12.33,14.5,89.9,87.04,14.33,95.71,14.15,14.0,78.09,93.32,15.16,78.66,14.74
197,67.61,12.17,57.97,12.33,14.5,84.59,79.02,13.02,49.7,11.53,14.0,34.3,45.7,15.07,39.27,15.25
198,53.75,12.0,48.5,11.5,13.0,76.77,65.91,13.7,44.16,13.66,13.17,36.64,38.99,14.97,32.38,10.78
199,67.47,15.34,62.47,13.33,13.0,89.11,86.17,15.66,95.67,13.03,12.46,69.38,81.87,13.89,81.62,14.41
200,76.65,13.67,65.49,13.07,15.0,91.06,87.09,13.7,107.76,12.7,13.94,106.08,116.61,15.03,78.25,16.01
201,67.11,12.5,63.51,12.0,15.5,87.98,79.04,16.0,122.87,13.97,12.5,108.99,126.01,14.39,108.09,9.02
202,56.15,10.84,51.47,10.33,11.5,75.76,73.25,9.94,66.92,13.48,13.59,54.38,65.48,15.05,49.09,10.82
203,64.68,11.67,59.96,14.67,12.0,87.0,80.88,11.67,44.41,13.62,13.67,32.3,64.08,13.65,93.96,11.52
205,77.25,15.37,64.48,12.0,14.72,91.57,90.91,12.29,96.23,11.69,13.14,99.51,107.53,12.59,83.5,10.7
206,66.76,11.67,59.44,10.67,11.0,87.65,79.92,12.98,83.18,13.33,13.67,67.42,84.41,12.73,73.02,14.02
207,62.43,13.34,54.98,13.0,14.0,83.15,75.11,14.69,52.99,14.49,14.58,40.85,55.6,16.26,53.74,11.89
208,61.29,13.25,62.01,11.5,13.5,88.95,85.87,13.32,103.59,13.11,12.79,70.77,92.68,13.62,65.4,13.11
209,69.97,14.42,62.5,14.33,14.5,89.1,,14.65,73.73,16.14,15.12,74.36,79.7,16.48,72.28,13.32
210,53.76,16.83,57.0,15.5,17.0,83.9,78.21,14.95,39.44,10.91,13.17,52.07,66.7,15.77,37.22,11.44
211,77.76,10.33,,,,102.71,91.39,,87.41,,9.94,70.37,90.48,,69.92,
212,70.58,15.67,65.47,13.67,16.0,90.93,88.67,15.63,109.42,15.61,15.83,82.75,97.48,16.24,75.76,13.59
213,68.62,14.67,64.44,13.67,15.28,89.41,87.85,14.33,88.48,15.48,16.34,72.79,94.57,15.77,71.96,15.17
214,67.76,10.37,61.47,9.67,12.5,87.3,83.57,10.64,109.65,19.85,11.14,69.77,75.48,14.57,53.17,9.82
215,68.83,13.5,65.96,13.33,13.0,89.0,87.25,13.26,104.03,12.99,13.95,102.88,110.85,12.55,75.63,13.27
217,63.95,15.03,62.49,15.5,15.0,88.48,87.33,14.41,53.93,13.02,17.48,49.11,57.64,14.3,38.62,13.7
218,63.0,11.17,57.48,13.33,12.5,83.5,69.59,13.67,79.62,12.66,9.6,72.16,98.0,14.5,77.19,13.55
219,69.99,11.0,65.47,9.67,10.5,89.13,86.91,11.3,113.9,16.7,16.14,92.31,105.03,14.57,82.12,13.89
220,65.42,12.67,58.46,11.0,12.5,86.56,79.4,12.36,59.6,15.04,13.65,43.23,72.85,15.8,60.56,13.3
221,74.5,14.67,57.98,12.67,15.0,90.56,79.06,14.69,73.38,9.74,13.34,64.19,89.63,16.6,63.29,11.3
222,68.79,12.33,61.49,10.67,12.5,87.54,56.3,12.93,113.73,14.42,15.67,88.27,106.93,17.22,73.59,14.63
223,76.54,13.0,67.98,12.0,9.28,102.54,91.88,9.95,98.09,11.54,14.75,93.36,101.76,12.35,91.3,13.72
224,71.56,15.67,63.98,13.0,14.5,89.76,87.39,15.95,63.33,13.53,13.83,73.93,89.34,12.66,59.39,12.42
225,,14.5,62.48,,12.0,87.82,87.03,14.46,85.76,15.7,16.42,73.95,79.01,,,
227,71.24,14.67,66.51,10.67,13.5,94.04,91.02,13.32,103.26,12.09,13.55,110.94,120.35,14.63,83.85,11.47
228,59.21,13.0,54.98,13.33,13.0,83.26,80.35,11.69,41.01,13.11,13.0,49.63,,14.79,49.73,14.22
229,76.08,17.84,63.99,12.33,20.0,91.77,,19.34,124.7,15.78,14.03,108.78,121.96,15.42,79.47,13.15
230,81.21,10.97,,15.67,11.72,103.47,91.09,12.03,95.32,11.43,13.36,101.75,111.68,13.48,79.88,15.14
231,60.1,10.5,54.51,,11.5,88.67,78.88,15.0,95.19,14.93,11.17,36.96,57.16,12.5,34.24,
232,76.81,16.17,67.96,13.6,14.5,91.1,87.13,15.01,117.78,14.6,12.58,102.63,120.47,13.52,70.3,15.76
234,65.11,14.17,57.98,10.83,12.72,85.43,77.64,12.64,75.11,11.25,11.5,59.37,76.59,12.37,60.49,7.44
235,56.97,16.75,59.98,15.67,15.5,85.41,83.75,15.0,78.82,13.57,17.5,65.44,67.51,18.28,54.45,17.64
236,69.73,11.2,66.01,11.0,11.28,91.83,90.57,12.63,102.49,17.94,17.81,91.97,73.93,14.6,86.26,19.29
237,62.96,16.34,56.99,17.33,15.5,85.17,74.54,16.33,74.88,12.03,11.5,58.33,79.13,13.36,58.31,12.55
238,70.65,12.34,61.98,12.0,12.0,89.07,,13.64,69.64,13.98,16.22,66.7,68.66,16.02,59.45,13.47
239,67.81,12.67,60.97,12.33,13.0,,,,,,17.5,37.31,44.79,18.3,42.65,15.56
240,55.75,11.7,51.45,12.0,13.5,76.71,73.04,12.7,78.57,12.89,14.48,53.04,71.06,14.75,63.92,11.23
241,69.03,13.34,60.47,11.67,14.5,87.42,79.34,15.37,84.53,15.37,14.92,68.36,85.31,14.96,86.26,12.14
242,,10.5,63.5,,8.0,,,,,,13.5,105.6,86.6,14.62,,
243,74.86,11.34,65.97,9.17,11.5,91.65,84.47,10.67,89.99,14.82,11.59,106.69,105.64,15.74,81.99,12.67
244,79.97,14.0,70.0,13.83,15.5,98.09,90.71,,131.75,,12.67,132.15,124.27,12.58,99.35,10.83
246,65.26,12.34,60.99,12.17,13.0,84.84,,13.68,65.71,12.54,14.07,59.29,,13.42,65.86,13.23
247,75.9,14.0,61.51,12.67,13.5,92.49,86.23,12.68,127.55,12.76,13.75,90.26,95.01,16.34,74.81,13.17
248,64.57,11.17,60.5,10.67,11.5,87.21,80.17,10.37,77.41,10.88,14.5,66.87,77.34,15.44,56.9,14.44
249,72.68,13.34,67.01,13.33,13.5,92.38,90.04,13.96,93.75,10.9,11.87,86.17,98.17,12.71,62.05,14.01
250,60.93,14.67,55.49,13.67,15.0,80.1,78.22,14.68,59.44,12.52,14.67,37.28,73.09,14.25,53.05,11.86
251,68.09,13.0,62.97,13.0,12.0,90.23,87.91,13.64,95.55,14.61,14.84,69.81,98.14,14.32,82.82,12.39
252,74.28,12.34,64.47,14.0,13.5,89.02,86.75,13.96,94.59,11.58,14.5,97.88,100.81,14.85,85.01,14.61
253,70.13,15.03,68.0,13.0,14.0,90.1,92.0,15.35,92.24,14.3,13.81,84.57,99.84,13.85,86.1,15.45
254,67.89,12.7,62.48,11.73,18.0,87.21,80.94,15.0,87.8,8.94,7.81,60.76,76.32,12.77,67.53,5.55
255,67.63,12.83,59.51,12.33,14.5,87.77,83.89,12.7,77.49,14.16,15.08,53.51,95.21,14.5,63.83,12.16
257,69.75,14.67,64.47,13.0,15.0,95.88,90.53,16.0,85.69,17.6,18.67,84.04,82.31,18.21,66.5,16.91
